color_name,red,green,blue
salmon,224,122,117
salmon_pink,219,119,120
sand,202,174,115
sand_yellow,229,200,92
sandy_yellow,225,187,119
scarlet,189,28,64
sea_blue,42,125,164
sea_green,62,166,144
shocking_pink,230,71,164
sienna,143,81,41
skin,208,152,134
skin_colour,212,156,124
skin_pink,224,158,151
skin_tone,228,157,132
sky_blue,97,170,212
slate,58,68,81
slate_grey,80,63,72
soft_pink,231,127,176
spearmint,153,225,202
spring_green,112,193,74
steel_blue,87,127,156
stone_grey,78,74,70
straw,171,164,98
strong_pink,236,72,109
sugar_pink,208,116,186
summer_sky_blue,94,186,218
sunflower_yellow,253,204,45
sunshine_yellow,236,213,60
tan,173,127,77
tan_brown,134,87,40
tangerine,239,131,66
taupe,151,125,112
teal,47,130,128
terracotta,182,88,65
terracotta_brown,88,27,28
toffee,114,77,0
tree_green,56,144,88
turquoise,58,193,182
turquoise_blue,107,188,191
turquoise_green,48,167,133
ultramarine,21,47,113
vanilla,214,218,185
very_dark_green,19,51,28
very_dark_grey,42,64,30
very_dark_purple,50,32,52
very_light_blue,179,206,212
very_light_green,122,218,193
very_light_grey,196,192,187
very_light_pink,238,212,233
very_pale_blue,208,234,236
very_pale_pink,240,208,206
violet,134,77,171
violet_blue,107,84,200
violet_purple,91,44,141
vivid_green,36,210,114
vivid_purple,136,41,153
vivid_red,221,4,52
warm_blue,60,134,226
warm_green,53,125,32
warm_grey,146,132,137
warm_orange,216,111,46
warm_pink,228,138,106
warm_purple,149,50,166
warm_white,238,225,233
warm_yellow,238,220,75
wheat,197,174,96
white,228,225,229
wine,126,31,64
wine_red,157,34,76
wood_green,16,56,36
yellow,226,205,68
yellow_beige,210,187,100
yellow_brown,108,81,14
yellow_green,170,188,64
yellow_ochre,200,151,49
yellow_orange,218,154,23
yellowish_green,159,186,72
