color_id,R,G,B,CAM16_J_UCS,CAM16_a_UCS,CAM16_b_UCS
886,97,216,255,82.69072213,-21.57345745,-20.73508311
887,117,213,255,82.90757067,-17.4250301,-22.95146647
888,199,194,255,84.05698963,8.325200581,-23.29202119
889,212,191,255,84.24838667,12.68582316,-20.3171362
890,222,188,249,84.40661748,16.0544217,-17.32890268
891,238,184,237,84.64313159,20.47619276,-11.97577622
892,246,182,228,84.76006916,22.34061729,-8.470066361
893,254,180,218,84.8702999,23.82996256,-4.572964828
894,255,178,206,84.95606898,24.72532984,-0.647081586
895,24,14,84,14.57227143,9.521155503,-25.3164524
896,40,7,78,14.88158004,16.48772102,-22.06828061
897,50,0,73,15.11005677,21.73804506,-18.88050456
898,55,0,69,15.25413054,25.09958867,-16.58564102
899,138,23,66,35.00485313,36.75992787,3.082822122
900,140,22,55,34.98458688,36.75973363,6.656620705
901,140,24,42,34.9141445,35.87974941,10.50214118
902,139,29,30,34.79497987,34.00920209,14.31543639
903,137,33,16,34.6504295,31.47105241,17.78774842
904,0,73,141,32.58991001,-6.577476802,-29.4005798
905,54,65,139,33.24285638,5.035267789,-28.46487231
906,78,58,135,33.7286217,13.90490175,-25.4902555
907,93,52,129,34.06990802,20.02803128,-21.81487306
908,103,48,123,34.29632757,23.91696005,-18.8270434
909,111,43,117,34.49177458,27.21107921,-15.70612936
910,118,39,110,34.66461195,30.05093778,-12.65846377
911,125,33,99,34.83030583,32.93467553,-8.421746188
912,131,29,88,34.92573347,34.78931104,-4.460584869
913,135,26,77,34.97227576,35.89039296,-0.800440087
914,194,88,110,56.2968022,31.84660494,4.811000022
915,196,87,99,56.29416413,31.58316269,7.88590725
916,197,88,87,56.25562349,30.71762358,11.41872958
917,197,89,74,56.17780254,29.21383429,14.83502588
918,196,92,57,56.02572086,26.35557863,19.20501745
919,191,96,42,55.80207605,22.33120844,22.64282024
920,183,102,25,55.52682822,17.35229482,25.62649083
921,176,107,1,55.24866139,12.25427288,28.13998594
922,74,138,11,53.00806463,-26.04703059,26.32369337
923,42,141,47,52.78898515,-29.39286078,20.90000306
