color_name,red,green,blue
gkrizo,140,142,161
gkrizo_mple,114,137,170
gkrizo_prasino,89,121,112
gkrizogalazo,140,148,171
gkrizokafe,134,120,106
gkrizomple,102,115,154
gkrizoprasino,70,98,98
hlektrik,77,86,207
indiko,77,59,128
iwdes,124,41,148
kafe,110,65,40
kafe_anoichto,144,101,62
kafe_gkri,114,92,92
kafe_keramidi,120,61,60
kafe_kitrino,152,98,41
kafe_kokkino,120,34,34
kafe_mov,59,37,43
kafe_ole,139,118,109
kafe_portokali,174,121,41
kafe_skouro,61,32,26
kafe_sokolati,98,66,43
kafekokkino,113,54,44
kafeti,153,96,60
kamel,181,142,68
kanarini,215,212,94
karpouzi,238,92,99
kastano,156,104,71
keramidi,143,60,53
keramidokokkino,163,62,68
kerasi,135,38,45
khaki,98,105,61
khaki_anoichto,170,163,122
khaki_prasino,84,120,52
khaki_skouro,56,56,22
kitrinh_ochra,213,161,59
kitrino,221,205,70
kitrino_fwsforize,186,248,66
kitrino_kroki,228,182,56
kitrino_lemoni,222,221,76
kitrino_moustardi,203,164,29
kitrino_mpez,232,233,168
kitrino_portokali,219,166,78
kitrino_prasino,186,195,89
kitrino_skouro,210,171,22
kitrino_spasmeno,194,210,124
kitrinoportokali,247,193,69
kitrinoprasino,181,207,80
kokkino,190,35,51
kokkino_anoichto,220,80,99
kokkino_fwsforize,232,36,67
kokkino_fwteino,210,32,51
kokkino_kafe,76,24,27
kokkino_keramidi,144,50,68
kokkino_mounto,177,50,43
kokkino_mov,124,38,76
kokkino_roz,219,77,105
kokkino_skouro,122,31,35
kokkinokafe,111,43,37
kokkinoroz,239,65,91
korali,215,74,89
korali_kokkino,236,72,109
koufeti,228,132,197
kreati,176,104,116
krem,223,192,157
kroki,232,171,49
kyano,75,165,203
kyano_anoichto,100,162,237
kyklamini,240,161,232
kyparissi,36,76,49
kyparissi_anoichto,80,139,108
kyparissi_skouro,15,49,32
lachani,133,211,95
lachani_anoichto,154,228,145
lachani_skouro,117,147,20
ladi,108,113,44
ladi_anoichto,159,168,69
ladi_skouro,74,77,18
ladoprasino,114,114,18
laim,177,214,88
lebanta,148,122,209
lemoni,199,236,96
leuko,230,228,232
leuko_krem,245,228,172
leuko_pagou,206,213,247
leuko_psyxro,210,234,233
leuko_tou_pagou,190,188,190
lila,169,117,198
lila_anoichto,185,158,209
lila_skouro,146,82,157
loulaki,116,113,193
mantarini,220,124,23
matzenta,178,55,155
mauro,29,27,28
mauro_kafe,41,22,32
mauromple,19,28,42
melani,35,18,59
melitzani,87,38,79
melitzani_anoichto,127,74,112
melitzani_skouro,69,30,66
meneksedi,134,103,208
mobe,127,86,167
moka,150,116,85
molybi,84,85,112
mounto_galazio,105,152,190
mounto_kokkino,164,56,94
mounto_mov,105,63,112
mounto_mple,72,108,146
mounto_portokali,181,101,68
moustardi,178,145,40
moustardokafe,171,128,54
mov,123,60,148
mov_anoichto,162,115,194
mov_apalo,170,135,190
mov_bioleti,100,57,120
mov_elafry,161,87,200
mov_entono,135,26,116
mov_fouxia,153,28,132
mov_fwteino,113,36,207
mov_galazio,123,117,216
mov_gkri,121,93,121
mov_kafe,52,12,32
mov_lila,168,78,165
mov_melitzani,84,27,77
mov_mple,90,67,151
mov_mpornto,110,24,76
mov_pal,157,121,176
mov_pastel,155,123,210
mov_roz,186,106,177
mov_skouro,83,34,94
mov_thermo,124,32,114
movmple,145,131,186
mpempe_mple,168,132,194
mpez,193,171,133
mpez_anoichto,213,191,172
mpez_kafe,170,128,51
mpez_kitrino,207,168,110
mpez_roz,199,140,128
mpez_skouro,172,144,103
mpez_ths_ammou,148,134,99
